"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"2",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"3",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"4",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"5",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"6",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"7",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"8",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"9",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"10",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"11",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"12",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"13",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"14",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"15",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"16",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"17",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"18",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"19",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"21",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"22",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"23",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"24",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"25",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"26",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"28",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"29",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"30",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"31",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"32",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"33",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"34",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"35",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"36",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"37",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"38",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"39",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"40",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"41",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"42",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"44",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"45",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"46",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"47",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"49",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"50",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"51",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"52",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"53",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"54",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
