"","xihao","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2,0,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,0.9,2,2.6,4.1
"2",3,0,0,0,0,0.3,0.3,0.3,0.5,0.4,0.7,0.9,0.8,1.4,3,4.4,7.1
"3",4,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.6,0.7,0.9,1.6,2.6,3.9
"4",5,0,0.1,0.2,0.2,0.4,0.4,0.4,0.7,0.8,1,1.2,1.5,1.8,3.4,4.9,8.3
"5",6,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,1.2,2.7,4.2
"6",7,0,0.1,0.2,0.2,0.5,0.6,0.7,0.9,1.1,1.3,1.8,2.6,3.5,6.1,8,9.5
"7",8,0,0,0.1,0.2,0.3,0.4,0.4,0.6,0.7,0.9,1.2,1.6,2,4,4.9,6.7
"8",9,0,0,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.9,1.1,2.4,3.1,3.6
"9",10,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.8,1.3,1.8
"10",11,0,0,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.7,1,1.3,2,2.9,4.9
"11",12,0,0,0.1,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.7,1,1.9,3.8,4.7
"12",13,0,0,0.1,0.2,0.4,0.4,0.4,0.6,0.8,1,1.4,1.8,2.4,4.5,6.1,6.8
"13",14,0,0,0,0,0.2,0.2,0.3,0.3,0.4,0.4,0.6,0.9,1.3,2.9,4,5.5
"14",15,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.9,1.7,3.1,4.7
"16",17,0,0.1,0.1,0.2,0.2,0.3,0.2,0.4,0.5,0.6,0.7,1,1.3,2.7,3.6,5.2
"17",18,0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.4,0.6,1.1,1.6,2.6
"18",19,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.7,1.1,1.7,4.1,6.1,8.4
"19",21,0,0,0,0,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.2,1,2,3.1
"20",22,0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.7,0.9,1.2,2.7,3.7,5.2
"21",23,0,0,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.7,1.1,1.4
"22",24,0,0.1,0.1,0.2,0.2,0.4,0.4,0.5,0.6,0.8,0.7,1.1,1.2,1.8,2.5,3.6
"23",25,0,0,0.3,0.2,0.3,0.3,0.2,0.4,0.5,0.5,0.6,0.9,1.3,2.5,3.5,4.8
"24",26,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.6,0.9,1.9,3.1,5.1
"25",28,0,0,0.1,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.8,1.1,1.6,2.9,3.6,4.4
"26",29,0,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.7,0.9,1.5,3.2,5.3,8.1
"27",30,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.8,1.5,2.7,5.4
"28",31,0,0,0.1,0.2,0.3,0.3,0.3,0.5,0.7,0.9,1,1.3,1.4,2.6,4,5.3
"29",32,0,0,0,0,0.3,0.3,0.3,0.3,0.2,0.4,0.5,0.5,1,2,3.1,5.3
"30",33,0,0,0.1,0.1,0.3,0.2,0.2,0.3,0.4,0.6,0.8,1,1.7,3.6,7.1,7.5
"31",34,0,0.1,0.2,0.2,0.3,0.3,0.6,0.5,0.7,0.8,1.1,1.5,2.2,4.3,5.7,7.7
"32",35,0,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.5,0.7,1,1.1,1.5,3.2,4.5,5.5
"33",36,0,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.7,1.5,2.8,3.7
"34",37,0,0,0,0,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.4,0.8,1.7,2.2
"36",39,0,0,0,0,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.7,1.3,2.6,3.6
"37",40,0,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,1,1.3,2,3.4,5,6.4
"38",41,0,0,0.1,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.7,1,1.5,2.9,4.1,5.4
"40",44,0,0.1,0.1,0.1,0.3,0.3,0.3,0.5,0.6,0.7,1,1.2,1.8,3.1,4.8,6.7
"41",45,0,0,0,0,0.2,0.2,0.2,0.3,0.2,0.4,0.6,0.6,0.9,1.8,2.8,4.6
"42",46,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.5,0.8,1.9,2.8,5.3
"43",47,0,0.1,0.2,0.2,0.5,0.5,0.5,0.7,0.8,1,1.3,1.6,2.1,4.3,5.6,7.9
"44",49,0,0.1,0.1,0.2,0.4,0.3,0.2,0.4,0.5,0.6,0.7,0.9,1,2.4,3.6,4.5
"45",50,0,0,0.1,0.1,0.3,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,1.7,2.9,4.1
"46",51,0,0,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.7,1.2,2.2,3
"47",52,0,0.1,0.2,0.1,0.3,0.3,0.3,0.4,0.5,0.6,0.8,1.2,1.7,3.1,4.9,7.5
"48",53,0,0,0.1,0.1,0.4,0.3,0.3,0.4,0.5,0.5,0.7,1,1.4,3,4.7,6.3
"49",54,0,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.7,1,1.3,1.7,2.3,4.4,6.3,7.6
"50",55,0,0,0.2,0.1,0.3,0.3,0.4,0.4,0.6,0.7,0.7,1.1,1.7,3.7,5.3,7.8
"51",56,0,0,0.1,0.2,0.4,0.4,0.4,0.6,0.7,0.8,1,1.5,1.9,3.7,5.8,9.5
"52",57,0,0,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.9,1.5,3.1,4.5,6.4
"53",58,0,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.8,1,1.5,2,3.8,5.4,8.2
"54",59,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.8,1.7,3,3.9
"55",60,0,0,0.1,0.1,0.3,0.3,0.4,0.5,0.6,0.8,0.8,1.2,0.6,2.4,3.8,4.8
"57",63,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.8,1.8,2.9,5.5
"58",64,0,0,0,0,0.4,0.3,0.3,0.5,0.4,0.6,0.7,0.8,1.3,2.2,3.1,5
"61",67,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.5,0.5,1.4,2.4,4.5
"63",69,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.9,2.9,5.4
"64",70,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.7,1.1,2.1
"65",71,0,0,0,0,0.3,0.2,0.3,0.4,0.4,0.6,0.7,0.7,1,1.6,2.1,4.2
"66",72,0,0,0.2,0.2,0.4,0.3,0.3,0.5,0.6,0.7,1,1.3,2.2,4,5.7,7.6
"67",73,0,0,0.1,0.1,0.4,0.4,0.4,0.6,0.7,0.8,0.8,1,1.2,1.7,2.2,3
"68",74,0,0.1,0.2,0.2,0.3,0.3,0.3,0.5,0.6,0.6,0.8,1.2,1.5,2.8,4.3,7.9
"69",75,0,0,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.6,1.4,2.4,5.1
"70",76,0,0,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,1.3,2.3,3.3
"71",77,0,0,0.1,0.2,0.4,0.4,0.5,0.5,0.7,0.8,0.8,1.1,1.5,2.9,4.4,7.4
"72",78,0,0.1,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.6,0.8,1,1.4,2.2,3.2,5
"73",79,0,0,0,0,0.2,0.3,0.3,0.4,0.4,0.6,0.7,0.8,1.1,2,3.7,6.3
"74",80,0,0,0,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.9,1.3,3,5,6.8
"76",83,0,0,0,0,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,2.1,3.1,4.9
"80",87,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1.8,3.1,4.7
"82",89,0,0,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.7,1,1.4,2.1,3.9,5.7,8.1
"85",93,0,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.6,0.9,1.8,2.6,4.3
"86",95,0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.6,0.7,1.1,1.2,1.8,2.5,3.2
"88",97,0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.6,1,1.4,2.9,3.6,5.7
"89",98,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,1.1,2.5,4
"90",99,0,0.1,0.2,0.2,0.4,0.3,0.3,0.4,0.5,0,0.8,1.2,1.5,3.1,4.7,6.9
"92",101,0,0.1,0.1,0.2,0.3,0.4,0.4,0.6,0.9,1.2,1.4,2,2.5,4.8,6.9,8.5
